1,2099.18,-2085.72,13.54
2,2099.18,-2085.72,13.54
3,2099.18,-2085.72,13.54
4,2099.88,-2085.63,13.54
5,2101.26,-2085.51,13.54
6,2102.81,-2085.78,13.54
7,2104.42,-2086.49,13.54
8,2107.31,-2089.26,13.54
9,2110.09,-2092.43,13.54
10,2113.88,-2096.56,13.54
11,2117.62,-2100.60,13.54
12,2121.01,-2103.51,13.54
13,2125.68,-2107.14,13.53
14,2130.58,-2111.02,13.42
15,2134.83,-2114.18,13.37
16,2139.26,-2117.06,13.37
17,2143.94,-2120.12,13.37
18,2148.72,-2123.31,13.36
19,2153.42,-2126.44,13.35
20,2157.92,-2129.50,13.35
21,2162.97,-2133.19,13.35
22,2167.80,-2136.77,13.35
23,2172.35,-2140.60,13.36
24,2176.06,-2144.18,13.37
25,2179.62,-2147.69,13.38
26,2183.23,-2151.26,13.38
27,2186.90,-2154.88,13.38
28,2190.62,-2158.54,13.38
29,2194.40,-2162.27,13.38
30,2197.97,-2165.78,13.38
31,2201.63,-2169.37,13.38
32,2206.07,-2173.66,13.37
33,2210.06,-2177.52,13.36
34,2214.08,-2181.42,13.36
35,2218.15,-2185.35,13.36
36,2222.25,-2189.31,13.36
37,2227.09,-2193.98,13.36
38,2231.27,-2198.01,13.36
39,2235.48,-2202.08,13.35
40,2239.31,-2205.79,13.34
41,2244.12,-2210.43,13.34
42,2247.71,-2214.01,13.33
43,2251.19,-2218.02,13.32
44,2254.29,-2221.41,13.32
45,2257.59,-2223.99,13.32
46,2262.03,-2227.17,13.31
47,2264.65,-2229.73,13.36
48,2266.89,-2233.10,13.49
49,2268.62,-2235.89,13.59
50,2270.69,-2238.61,13.70
51,2273.17,-2241.22,13.76
52,2276.51,-2244.76,13.79
53,2279.88,-2248.41,13.60
54,2282.09,-2251.29,13.36
55,2283.31,-2254.45,13.33
56,2283.25,-2257.99,13.41
57,2282.01,-2260.38,13.49
58,2280.48,-2262.66,13.53
59,2277.91,-2266.83,13.54
60,2275.65,-2270.62,13.49
61,2272.72,-2274.50,13.44
62,2269.50,-2278.50,13.44
63,2265.71,-2282.49,13.40
64,2262.22,-2286.09,13.37
65,2258.61,-2289.91,13.37
66,2254.88,-2293.92,13.37
67,2251.01,-2298.05,13.37
68,2247.41,-2301.84,13.37
69,2243.84,-2305.69,13.37
70,2239.77,-2310.18,13.37
71,2235.61,-2314.78,13.37
72,2231.32,-2319.50,13.37
73,2226.96,-2324.30,13.37
74,2222.50,-2329.20,13.37
75,2219.10,-2332.95,13.37
76,2215.01,-2337.46,13.37
77,2211.07,-2341.80,13.37
78,2207.22,-2346.03,13.36
79,2203.24,-2350.42,13.36
80,2199.93,-2354.01,13.36
81,2196.60,-2357.59,13.36
82,2192.92,-2360.90,13.36
83,2189.27,-2362.70,13.36
84,2185.66,-2363.08,13.36
85,2182.27,-2361.88,13.37
86,2179.07,-2359.65,13.37
87,2174.99,-2356.75,13.36
88,2171.03,-2354.00,13.36
89,2167.10,-2350.89,13.35
90,2162.65,-2347.25,13.34
91,2158.98,-2344.61,13.34
92,2154.21,-2341.46,13.34
93,2149.50,-2338.38,13.34
94,2145.04,-2335.48,13.34
95,2140.38,-2333.09,13.34
96,2134.83,-2330.79,13.34
97,2129.13,-2328.52,13.34
98,2124.12,-2326.49,13.35
99,2118.64,-2324.26,13.36
100,2112.99,-2321.71,13.37
101,2108.11,-2318.13,13.37
102,2105.28,-2314.52,13.37
103,2103.66,-2310.49,13.37
104,2103.30,-2306.01,13.37
105,2103.40,-2300.59,13.37
106,2103.49,-2294.47,13.38
107,2103.55,-2289.25,13.38
108,2103.63,-2284.00,13.38
109,2103.72,-2278.78,13.38
110,2104.29,-2273.49,13.37
111,2106.11,-2268.38,13.37
112,2108.80,-2264.63,13.39
113,2111.98,-2261.01,13.47
114,2115.16,-2257.46,13.53
115,2119.14,-2252.80,13.48
116,2122.62,-2248.52,13.45
117,2126.09,-2244.34,13.45
118,2129.40,-2240.05,13.42
119,2132.53,-2235.61,13.37
120,2135.05,-2231.34,13.37
121,2136.60,-2226.80,13.37
122,2136.78,-2221.71,13.37
123,2135.43,-2217.60,13.37
124,2133.19,-2214.78,13.37
125,2129.86,-2211.90,13.37
126,2127.04,-2209.44,13.37
127,2123.26,-2206.08,13.38
128,2120.13,-2203.30,13.38
129,2115.96,-2199.62,13.38
130,2112.16,-2196.27,13.38
131,2108.40,-2192.98,13.38
132,2104.40,-2189.99,13.37
