104,-1769.43,345.05,11.19,VEHICLE,0,0
105,-1774.29,346.80,12.72,VEHICLE,0,0
106,-1778.98,348.39,14.17,VEHICLE,0,0
107,-1783.70,350.30,15.46,VEHICLE,0,0
108,-1788.67,353.15,16.49,VEHICLE,0,0
109,-1793.24,356.16,16.85,VEHICLE,0,0
110,-1797.98,359.67,17.06,VEHICLE,0,0
111,-1802.46,363.92,17.02,VEHICLE,0,0
112,-1806.28,367.72,17.01,VEHICLE,0,0
113,-1810.47,371.89,17.01,VEHICLE,0,0
114,-1815.06,376.40,17.01,VEHICLE,0,0
115,-1818.75,380.02,17.01,VEHICLE,0,0
116,-1822.59,384.09,17.02,VEHICLE,0,0
117,-1825.68,388.41,17.04,VEHICLE,0,0
118,-1828.66,393.39,17.05,VEHICLE,0,0
119,-1831.51,398.61,17.02,VEHICLE,0,0
120,-1833.51,403.80,17.01,VEHICLE,0,0
121,-1835.04,409.69,17.07,VEHICLE,0,0
122,-1836.28,415.77,17.15,VEHICLE,0,0
123,-1836.83,422.11,17.16,VEHICLE,0,0
124,-1836.48,427.90,17.16,VEHICLE,0,0
125,-1835.20,434.02,17.23,VEHICLE,0,0
126,-1833.17,439.98,17.51,VEHICLE,0,0
127,-1830.87,445.36,17.91,VEHICLE,0,0
128,-1828.42,451.08,18.47,VEHICLE,0,0
129,-1825.96,456.92,19.11,VEHICLE,0,0
130,-1824.06,461.48,19.93,VEHICLE,0,0
131,-1821.68,467.11,21.06,VEHICLE,0,0
132,-1819.58,472.63,22.37,VEHICLE,0,0
133,-1818.35,478.23,23.65,VEHICLE,0,0
134,-1818.29,483.69,24.90,VEHICLE,0,0
135,-1819.51,489.81,26.22,VEHICLE,0,0
136,-1821.04,495.02,27.26,VEHICLE,0,0
137,-1823.60,500.29,28.36,VEHICLE,0,0
138,-1826.53,504.73,29.48,VEHICLE,0,0
139,-1830.02,509.30,30.68,VEHICLE,0,0
140,-1833.64,512.84,31.66,VEHICLE,0,0
141,-1837.39,516.36,32.50,VEHICLE,0,0
142,-1841.16,519.63,32.96,VEHICLE,0,0
143,-1846.03,523.30,33.46,VEHICLE,0,0
144,-1851.03,527.05,33.80,VEHICLE,0,0
145,-1855.64,530.53,34.04,VEHICLE,0,0
146,-1859.99,533.90,34.16,VEHICLE,0,0
147,-1863.92,537.43,34.17,VEHICLE,0,0
148,-1868.47,541.61,34.21,VEHICLE,0,0
149,-1872.29,545.12,34.27,VEHICLE,0,0
150,-1876.45,548.93,34.34,VEHICLE,0,0
151,-1880.72,552.84,34.39,VEHICLE,0,0
152,-1885.08,556.83,34.44,VEHICLE,0,0
153,-1889.53,560.84,34.65,VEHICLE,0,0
154,-1894.77,564.58,34.92,VEHICLE,0,0
155,-1900.29,567.23,34.96,VEHICLE,0,0
156,-1906.58,568.54,35.03,VEHICLE,0,0
157,-1912.36,568.53,35.12,VEHICLE,0,0
158,-1918.51,568.14,35.21,VEHICLE,0,0
159,-1924.36,567.88,35.26,VEHICLE,0,0
160,-1929.48,567.94,35.26,VEHICLE,0,0
161,-1934.67,568.06,35.26,VEHICLE,0,0
162,-1939.78,568.18,35.26,VEHICLE,0,0
163,-1946.08,568.31,35.26,VEHICLE,0,0
164,-1951.43,568.40,35.26,VEHICLE,0,0
165,-1956.84,568.50,35.26,VEHICLE,0,0
166,-1962.31,568.53,35.27,VEHICLE,0,0
167,-1967.80,568.48,35.27,VEHICLE,0,0
168,-1972.85,568.41,35.29,VEHICLE,0,0
169,-1978.52,568.35,35.22,VEHICLE,0,0
170,-1984.09,568.28,35.17,VEHICLE,0,0
171,-1989.23,568.22,35.16,VEHICLE,0,0
172,-1994.88,568.15,35.15,VEHICLE,0,0
173,-2000.57,568.08,35.09,VEHICLE,0,0
174,-2005.76,568.02,35.01,VEHICLE,0,0
175,-2011.32,567.96,35.01,VEHICLE,0,0
176,-2016.90,567.89,35.01,VEHICLE,0,0
177,-2022.49,567.82,35.01,VEHICLE,0,0
178,-2028.04,567.76,35.01,VEHICLE,0,0
179,-2033.72,567.69,35.01,VEHICLE,0,0
180,-2039.43,567.62,35.01,VEHICLE,0,0
181,-2044.92,567.55,35.01,VEHICLE,0,0
182,-2050.47,567.49,35.01,VEHICLE,0,0
183,-2055.58,567.43,35.01,VEHICLE,0,0
184,-2061.62,567.35,35.01,VEHICLE,0,0
185,-2067.15,567.29,35.01,VEHICLE,0,0
186,-2072.77,567.39,35.01,VEHICLE,0,0
187,-2078.80,567.58,35.01,VEHICLE,0,0
188,-2084.40,567.77,35.01,VEHICLE,0,0
189,-2089.93,567.95,35.01,VEHICLE,0,0
190,-2095.53,568.13,35.01,VEHICLE,0,0
191,-2101.09,568.31,35.01,VEHICLE,0,0
192,-2106.67,568.32,35.01,VEHICLE,0,0
193,-2112.72,568.25,35.01,VEHICLE,0,0
194,-2118.32,568.17,35.01,VEHICLE,0,0
195,-2123.41,568.10,35.01,VEHICLE,0,0
196,-2129.43,568.03,35.01,VEHICLE,0,0
197,-2135.00,568.02,35.01,VEHICLE,0,0
198,-2140.67,568.07,35.01,VEHICLE,0,0
199,-2146.18,568.11,35.01,VEHICLE,0,0
200,-2151.78,568.16,35.01,VEHICLE,0,0
201,-2157.62,568.21,35.01,VEHICLE,0,0
202,-2162.91,568.25,35.01,VEHICLE,0,0
