X,Y,Z,Speed_kmh
850.6412,-1783.8748,13.7698,77.1
863.9401,-1784.4989,13.7099,81.6
877.7106,-1785.8870,13.6032,84.3
892.1962,-1787.3107,13.4912,89.0
907.4659,-1788.7749,13.3760,93.5
923.3242,-1790.3151,13.3716,96.4
939.0787,-1792.1638,13.7224,94.8
954.3994,-1795.2917,14.1121,89.3
969.1151,-1798.4280,14.0910,91.2
984.2950,-1801.8770,14.0659,94.2
999.5132,-1805.9749,14.0402,93.8
1007.2018,-1808.6492,14.0378,95.0
1021.8568,-1814.6025,13.9129,94.9
1035.0930,-1822.7192,13.6456,89.1
1046.4785,-1831.3414,13.5199,81.3
1055.7566,-1840.6321,13.5370,75.2
1065.2235,-1847.9591,13.3965,68.2
1075.3754,-1850.8883,13.3749,59.1
1086.0173,-1851.4174,13.3762,67.6
1097.8827,-1852.0894,13.3748,72.9
1110.5109,-1852.7791,13.3750,77.6
1123.9053,-1853.5170,13.3750,82.2
1138.0508,-1853.9908,13.3748,86.5
1152.9492,-1853.7461,13.3794,90.8
1168.5374,-1853.4885,13.3910,94.5
1184.6511,-1853.6643,13.3903,97.3
1192.8660,-1853.8204,13.3879,98.7
1201.2045,-1853.8234,13.3776,100.1
1209.6583,-1853.7949,13.3743,101.4
1218.2396,-1853.5989,13.3747,102.7
1226.9060,-1853.2439,13.3746,103.9
1235.6958,-1853.1549,13.3745,105.2
1244.5725,-1853.1243,13.3748,106.5
1253.5688,-1853.0831,13.3748,107.7
1262.6674,-1853.0112,13.3748,108.9
1271.8645,-1852.9366,13.3748,110.1
1280.9873,-1852.8655,13.3734,106.0
1289.9202,-1852.7965,13.3725,101.6
1298.3693,-1852.7301,13.3724,97.6
1306.6486,-1852.9169,13.3738,98.9
1314.9973,-1853.3334,13.3746,100.3
1323.5002,-1853.9575,13.3747,101.3
1331.6881,-1855.7986,13.3723,98.3
1339.2102,-1858.8077,13.3718,94.8
1353.6450,-1865.0072,13.3744,94.7
1368.9897,-1869.4084,13.3729,96.3
1377.0741,-1870.4429,13.3743,97.4
1385.2960,-1870.7571,13.3743,98.8
1393.6570,-1870.9772,13.3747,100.2
1402.1044,-1871.2122,13.3748,101.5
1410.9583,-1871.4655,13.3748,102.9
1419.6476,-1871.7101,13.3748,104.2
1428.4465,-1871.8766,13.3748,105.4
1437.1411,-1871.8002,13.3735,101.7
1445.4834,-1871.6991,13.3725,97.4
1461.1031,-1871.5751,13.3724,89.0
1475.3418,-1871.6012,13.3724,81.7
1489.1980,-1871.6232,13.3735,80.4
1501.9949,-1871.6451,13.3724,72.6
1513.5033,-1872.0718,13.3722,64.3
1521.9261,-1876.5273,13.3687,51.6
1526.3491,-1884.2338,13.4880,56.9
1529.4274,-1893.3640,13.8005,58.3
1530.1597,-1903.7227,14.2077,65.1
1530.1088,-1915.1736,14.9124,71.1
1530.0657,-1927.1244,16.2533,71.7
1530.0217,-1939.0646,17.7853,71.6
1529.9778,-1950.9438,19.3674,71.3
1529.9338,-1962.7527,20.9466,70.9
1529.8899,-1974.6040,22.3112,71.3
1529.8459,-1986.4935,23.7815,71.3
1529.8020,-1998.2598,25.4760,70.5
1529.7577,-2010.0104,27.1580,69.8
1529.7732,-2021.7682,28.6833,69.2
1530.9772,-2033.2147,30.0883,69.1
1533.4867,-2044.3920,31.2668,69.0
1537.4216,-2055.2129,32.3656,69.5
1541.6151,-2066.2693,33.1770,71.7
1545.9541,-2077.7166,33.7422,74.6
1550.8729,-2089.5178,34.0442,77.1
1557.7487,-2100.7542,33.7403,79.1
1565.3831,-2112.2512,33.1040,84.5
1575.1589,-2123.3081,32.0363,91.0
1587.0100,-2133.1587,30.4703,90.8
1599.3096,-2141.7917,28.6873,91.7
1612.8823,-2148.9702,26.7175,92.3
1627.3873,-2155.2466,24.5762,94.9
1642.3738,-2160.4551,22.4159,98.5
1650.4628,-2162.3958,21.3404,100.3
1658.6102,-2164.1501,20.2781,101.6
1667.0957,-2165.6587,19.2292,104.9
1675.7330,-2166.5464,18.2597,103.1
1684.4246,-2166.9431,17.3055,105.4
1693.1575,-2166.8987,16.4335,103.2
1701.9203,-2166.8445,15.5618,105.9
1710.7043,-2166.8076,14.8941,105.7
1719.6609,-2166.7698,14.2555,108.4
1728.8370,-2166.7258,13.8109,109.8
1737.9318,-2166.6819,13.5306,108.3
1747.0817,-2166.6375,13.3495,109.8
1756.3484,-2166.5979,13.3737,110.9
1765.6031,-2166.6106,13.3741,108.6
1774.6880,-2166.6326,13.3737,108.9
1783.6741,-2166.6545,13.3735,105.1
1792.3802,-2166.7366,13.3730,103.9
1800.9802,-2166.9675,13.3734,100.5
1809.3217,-2167.1860,13.3733,100.0
1817.7700,-2167.3730,13.3746,101.4
1826.1019,-2167.5522,13.3733,97.1
1834.2335,-2167.6758,13.3735,97.2
1842.3732,-2167.6636,13.3741,95.5
1858.0149,-2167.6150,13.3742,93.8
1873.5413,-2167.5757,13.3745,93.7
1889.2423,-2167.5317,13.3732,90.7
1903.5759,-2165.5393,13.3721,82.7
1916.6042,-2162.3040,13.3833,80.0
1928.3356,-2156.3889,13.5357,77.3
1939.0199,-2148.3394,13.5508,81.7
1947.9851,-2138.3210,13.5443,80.7
1956.0396,-2127.2471,13.5261,78.6
1963.9089,-2117.6243,13.3723,69.0
1973.8566,-2112.9404,13.3624,66.7
1985.4797,-2111.1689,13.3487,72.7
1998.0846,-2110.6960,13.3693,77.4
2011.1663,-2111.0090,13.3927,76.3
2023.9301,-2111.3906,13.3614,73.1
2036.5927,-2111.0620,13.3583,77.9
2049.4248,-2110.8660,13.3744,77.4
2062.1130,-2110.7605,13.3563,72.8
2074.2944,-2110.7290,13.3555,69.7
2085.3628,-2110.6584,13.3392,64.4
2095.9587,-2108.7830,13.3110,61.5
2104.7988,-2104.0432,13.4034,57.2
2111.8711,-2097.5608,13.5376,57.6
2118.5933,-2090.9983,13.5365,52.5
2124.2114,-2084.3953,13.5376,49.9
