X,Y,Z,Speed_kmh
1357.3878,-1230.4418,13.4517,86.7
1357.4374,-1216.0178,15.8046,84.3
1357.4832,-1202.2772,18.3441,80.0
1357.5236,-1189.4709,20.7126,73.3
1357.5656,-1177.3746,22.8935,70.9
1357.6066,-1165.6177,23.7501,69.9
1358.1154,-1153.5817,23.6459,70.7
1358.7692,-1140.9220,23.6484,75.7
1359.5609,-1127.7590,23.6587,80.2
1360.9431,-1114.4094,23.7159,80.5
1362.3641,-1100.6296,23.8919,83.8
1363.8029,-1086.6320,24.4942,84.9
1365.2611,-1072.3716,25.7204,86.0
1366.7565,-1057.9619,26.6743,85.2
1367.8077,-1043.9451,26.3265,84.0
1368.7117,-1029.4514,26.2507,88.1
1370.0222,-1014.5200,26.6706,90.9
1371.4860,-999.3476,28.1840,91.2
1373.0359,-984.8691,30.5977,80.5
1374.3596,-972.4752,32.9183,73.4
1375.6484,-960.7640,34.0541,65.2
1374.4316,-950.9215,34.1794,55.6
1368.4625,-944.3037,34.1748,52.4
1359.7607,-940.6775,34.1799,60.3
1349.6833,-937.3557,34.6106,66.1
1338.4158,-934.2753,35.6382,71.3
1326.8491,-931.0680,36.8017,72.3
1314.9225,-928.1949,38.0612,71.3
1302.6681,-927.8694,39.3395,71.6
1290.7246,-928.3422,40.7903,71.7
1278.6959,-928.8243,42.0190,72.4
1266.2675,-929.3058,42.3514,75.7
1253.2683,-929.9512,42.5888,79.1
1240.0078,-932.8750,42.5145,82.9
1226.0249,-935.7277,42.5727,87.1
1211.4943,-937.9059,42.7017,86.6
1196.5891,-940.0967,42.7409,90.9
1180.8239,-942.4093,42.7563,89.0
1166.3037,-944.4609,42.9479,79.9
1152.6279,-945.5207,42.7965,83.9
1138.9227,-946.6375,42.6087,80.1
1124.6378,-947.7596,42.6105,83.8
1110.2527,-948.9153,42.6326,88.1
1095.8267,-950.0573,42.6154,83.6
1081.1844,-951.2056,42.5841,88.2
1066.1389,-952.6012,42.6979,85.9
1052.1930,-954.1685,42.6715,82.8
1038.9609,-955.6622,42.5520,75.4
1026.6608,-957.4517,42.3449,73.9
1014.1517,-958.5032,41.9812,74.5
1001.5251,-959.4249,41.3124,73.7
989.2864,-960.5964,40.3442,73.9
977.4282,-961.9690,39.6429,68.7
966.4502,-963.2421,39.1463,63.1
955.6097,-964.5544,38.7796,63.4
944.7895,-965.9324,38.5609,64.4
934.2253,-967.1519,38.3014,64.7
924.0029,-967.4527,38.1818,57.7
915.2919,-967.4877,38.1174,44.7
904.8922,-967.9783,38.0194,43.8
894.8247,-969.1377,37.3968,37.4
888.2216,-976.0667,37.2331,33.0
891.0134,-984.4932,36.9947,39.8
900.5710,-985.5895,37.3503,45.9
908.9999,-984.4081,37.7431,53.8
917.5686,-981.5317,38.0712,54.7
927.0239,-978.9106,38.1914,62.3
937.5754,-976.5534,38.3338,65.0
948.8159,-974.5555,38.5850,67.6
960.4294,-972.5054,38.8763,72.1
971.8104,-970.7807,39.2492,68.6
983.0032,-969.2746,39.6220,68.0
994.0156,-967.7743,40.6179,66.7
1005.1147,-966.2734,41.4560,65.7
1016.4460,-964.7365,42.0411,69.1
1028.3914,-963.1181,42.3630,74.0
1040.9039,-961.4482,42.5673,75.6
1053.9009,-959.7523,42.5860,80.2
1067.4332,-957.9846,42.5848,81.7
1080.8580,-957.0850,42.4460,81.2
1094.1646,-955.8374,42.4112,77.4
1107.4631,-954.3118,42.5421,81.7
1121.0714,-952.8032,42.5801,83.0
1134.9869,-951.2526,42.5743,80.9
1148.8171,-949.7115,42.7315,83.3
1162.2999,-947.6943,43.0159,81.5
1175.6155,-945.0465,42.7530,82.9
1189.3030,-942.7365,42.7485,83.6
1202.9042,-940.6459,42.7313,78.5
1216.2159,-938.5555,42.6639,80.5
1229.6379,-936.4630,42.5433,80.3
1242.3257,-934.4806,42.5195,72.6
1253.8611,-932.6840,42.5729,69.7
1265.4305,-931.2662,42.3872,70.1
1276.8739,-930.5856,42.0098,65.9
1287.9948,-930.6855,41.1398,66.4
1299.9773,-930.6446,39.7041,73.4
1312.2174,-931.1500,38.3742,74.0
1324.4327,-932.2327,37.0445,73.4
1334.7897,-933.0814,35.9413,56.0
1343.5370,-934.9080,35.1929,51.9
1351.4436,-939.4272,34.4527,57.7
1357.7377,-947.2455,34.1711,59.7
1360.0898,-957.2962,34.0802,65.4
1359.9086,-968.8902,32.9551,73.8
1358.4203,-981.9215,30.4903,85.1
1356.7131,-996.7844,28.1750,93.7
1355.9739,-1004.7328,27.2946,96.0
1355.2595,-1012.7709,26.7051,96.0
1353.8560,-1028.4901,26.3584,95.0
1352.5112,-1043.7533,26.2783,86.9
1350.4257,-1057.6013,26.6371,83.9
1348.6132,-1072.0815,25.4433,90.6
1346.7104,-1087.4402,24.2687,91.6
1345.5820,-1102.9957,23.8157,93.5
1344.4906,-1118.9469,23.6893,96.8
1343.9279,-1127.1129,23.6618,98.2
1343.3613,-1135.3677,23.6497,98.1
1342.9413,-1143.6525,23.6602,99.2
1343.0450,-1151.9779,23.6700,98.1
1343.0715,-1160.0881,23.6931,96.9
1342.8323,-1168.2720,23.7399,98.2
1342.5770,-1176.4072,23.3680,96.0
1342.3159,-1184.4260,21.7728,98.2
1342.0997,-1192.4979,20.2696,97.7
1342.2623,-1200.5421,18.7511,97.5
1342.4761,-1208.6654,17.1637,101.1
1342.6581,-1217.2100,15.6266,105.9
1342.8497,-1226.1768,14.1837,110.4
1343.0065,-1235.3370,13.5063,109.0
1342.9565,-1244.4817,13.4693,108.3
1342.8861,-1253.6808,13.3624,109.7
1342.8315,-1262.9182,13.3735,109.3
1342.7810,-1271.9658,13.3734,108.1
1342.7252,-1281.0865,13.3746,109.3
1342.6709,-1290.0656,13.5829,104.9
1342.6277,-1298.7104,13.5886,102.7
1342.5958,-1307.3660,13.4642,102.1
1342.5669,-1315.9086,13.3712,102.4
1342.6563,-1324.4807,13.3728,100.9
1342.8169,-1332.7568,13.3726,96.6
1343.0258,-1348.3193,13.3725,88.3
1343.0145,-1363.1632,13.3810,88.4
1342.9458,-1378.3441,13.4746,92.4
1342.7705,-1393.8455,13.3894,93.4
1342.5957,-1409.5531,13.3346,92.7
1341.4080,-1425.0303,13.3737,90.8
1340.0094,-1440.4200,13.3744,91.3
1337.3109,-1455.4187,13.3742,90.4
1333.6008,-1470.1039,13.3741,91.2
1328.8236,-1484.2762,13.3743,89.8
1325.3850,-1498.7684,13.3739,89.0
1321.9625,-1513.4215,13.5105,88.7
1318.6034,-1527.9938,13.3727,86.8
1315.7889,-1542.1713,13.3738,85.0
1313.9889,-1556.5249,13.3749,88.2
1312.2317,-1571.1398,13.3742,87.3
1312.0031,-1585.4894,13.3743,84.6
1311.8357,-1599.0015,13.3724,76.7
1311.6711,-1612.2339,13.3748,79.0
1311.5092,-1625.4041,13.3744,77.8
1311.4646,-1638.6731,13.3748,81.1
1311.6095,-1652.2877,13.3745,82.6
1311.4987,-1666.4025,13.3739,83.6
1311.2684,-1680.8015,13.3750,86.6
1311.0450,-1695.2321,13.3735,83.8
1310.8655,-1706.6958,13.3693,60.0
1311.9414,-1715.9092,13.3709,53.5
1315.9275,-1723.5922,13.3723,51.4
1322.2578,-1729.1846,13.3937,48.8
1330.3702,-1731.1350,13.3747,53.4
1339.9257,-1732.2400,13.3755,61.5
1350.8669,-1732.6489,13.3751,69.0
1362.5535,-1732.6887,13.3746,72.1
1375.0206,-1733.3859,13.3748,76.3
1387.7163,-1732.9801,13.3746,77.3
1401.0670,-1732.7699,13.3750,81.8
1415.2625,-1732.7963,13.3750,86.3
1430.1150,-1732.8345,13.3750,90.6
1445.2540,-1732.8722,13.3741,90.8
1460.7692,-1732.9116,13.3749,92.9
1475.9725,-1732.9512,13.3742,91.3
1491.5364,-1732.9907,13.3748,94.3
1507.2335,-1733.0303,13.3731,92.2
1522.9523,-1733.0698,13.3748,95.2
1530.9984,-1733.0896,13.3748,96.6
1539.1095,-1733.1094,13.3745,95.5
1555.0341,-1733.1490,13.3746,96.0
1563.1443,-1733.1688,13.3748,97.4
1571.3602,-1733.1886,13.3747,97.2
1579.4918,-1733.2085,13.3738,97.1
1587.6940,-1733.2283,13.3747,98.5
1596.0214,-1733.2494,13.3748,99.9
1604.4584,-1733.2714,13.3748,101.2
1613.0183,-1733.2933,13.3748,102.6
1621.6504,-1733.3153,13.3747,102.3
1630.0629,-1733.3372,13.3730,99.6
1638.4814,-1733.3591,13.3743,101.0
1647.0056,-1733.3811,13.3748,102.3
1655.6505,-1733.4031,13.3748,103.6
1664.2922,-1733.4250,13.3742,101.5
1672.8201,-1733.4470,13.3739,102.2
1681.4492,-1733.4690,13.3795,103.5
1690.1827,-1733.4908,13.3797,104.8
1699.0271,-1733.5129,13.3742,106.1
1707.9762,-1733.5361,13.3748,107.3
1717.0256,-1733.5581,13.3748,108.5
1726.1770,-1733.5809,13.3756,109.7
1735.4423,-1733.6051,13.3789,110.9
1744.7960,-1733.6292,13.3803,112.0
1754.0719,-1733.6511,13.3758,108.1
1762.9507,-1733.6731,13.3722,103.7
1771.4579,-1733.6951,13.3724,99.4
1785.1597,-1733.7299,13.3682,71.6
1796.7568,-1733.7604,13.3738,69.6
1807.8745,-1734.0096,13.3724,62.1
1816.1248,-1737.7935,13.3687,48.6
1821.9353,-1743.7357,13.3750,52.6
1829.1859,-1749.4535,13.3740,56.1
1838.6315,-1752.3667,13.3745,61.4
1849.6133,-1753.1666,13.3755,69.7
1861.4209,-1753.6593,13.3739,71.1
1873.4700,-1753.8121,13.3735,70.0
1885.2222,-1753.5195,13.3729,67.3
1896.1205,-1753.2701,13.3740,66.6
1907.9502,-1753.0001,13.3754,73.3
1920.2310,-1752.7177,13.3730,71.9
1932.3521,-1752.4279,13.3731,69.8
1943.1744,-1752.2190,13.3708,54.1
1950.9446,-1754.6588,13.3716,45.7
1958.3949,-1762.3018,13.3726,48.4
1961.0321,-1770.5875,13.3747,53.5
1961.3717,-1780.1791,13.3756,60.4
1961.2083,-1790.5168,13.3757,65.0
1961.0596,-1801.5371,13.3748,67.6
1960.8983,-1813.3617,13.3751,70.1
1960.7385,-1825.1084,13.3750,71.7
1960.6396,-1837.3341,13.3745,71.6
1960.6552,-1849.1862,13.3743,69.2
1960.6661,-1860.9775,13.3750,72.1
1960.6793,-1873.2798,13.3745,72.0
1960.6925,-1884.8654,13.3741,69.4
1960.7057,-1896.6091,13.3738,67.7
1960.7189,-1907.9327,13.3754,70.4
1960.7321,-1920.1102,13.3752,74.2
1960.7452,-1932.8339,13.3751,77.4
1960.7584,-1945.8810,13.5090,75.0
1960.7681,-1958.6287,13.7398,77.2
1960.7850,-1971.9097,13.3825,81.0
1960.8002,-1985.7433,13.3751,83.8
1960.8157,-1999.8430,13.3736,80.5
