duong_di_1 = [[
-1573.3094,79.8947,3.5000,172.9530,0.00,VEHICLE,0,0
-1573.3094,79.8947,3.5000,172.9530,0.00,VEHICLE,0,0
-1573.3094,79.8947,3.5000,172.9530,0.00,VEHICLE,0,0
-1573.3094,79.8947,3.5000,172.9530,0.00,VEHICLE,0,0
-1573.3094,79.8947,3.5000,172.9530,0.00,VEHICLE,0,0
-1573.3094,79.8947,3.5000,172.9530,0.00,VEHICLE,0,0
-1573.3094,79.8947,3.5000,172.9530,0.00,VEHICLE,0,0
-1573.3094,79.8947,3.5000,172.9530,0.00,VEHICLE,0,0
-1573.3094,79.8947,3.5000,172.9530,0.00,VEHICLE,0,0
-1573.3094,79.8947,3.5000,172.9530,0.00,VEHICLE,0,0
-1573.3094,79.8947,3.5000,172.9530,0.00,VEHICLE,0,0
-1573.3094,79.8947,3.5000,172.9530,0.00,VEHICLE,0,0
-1573.3094,79.8947,3.5000,172.9530,0.00,VEHICLE,0,0
-1573.3322,79.8585,3.5111,172.4883,142.18,VEHICLE,0,0
-1573.3900,79.7650,3.5179,171.3582,272.86,VEHICLE,0,0
-1573.4832,79.6109,3.5207,169.6782,418.54,VEHICLE,0,0
-1573.6160,79.3932,3.5238,167.4283,565.69,VEHICLE,0,0
-1573.7906,79.1114,3.5308,164.7338,713.39,VEHICLE,0,0
-1574.0109,78.7655,3.5399,161.6804,862.02,VEHICLE,0,0
-1574.2865,78.3721,3.5458,158.2043,1002.92,VEHICLE,0,0
-1574.6329,77.9380,3.5481,154.2140,1142.69,VEHICLE,0,0
-1575.0559,77.4828,3.5486,149.7393,1245.77,VEHICLE,0,0
-1575.5505,77.0335,3.5482,144.9061,1330.98,VEHICLE,0,0
-1576.1194,76.6039,3.5475,139.7587,1415.41,VEHICLE,0,0
-1576.7427,76.1514,3.5470,135.4943,1564.11,VEHICLE,0,0
-1577.3967,75.6162,3.5474,133.5784,1695.28,VEHICLE,0,0
-1578.0813,75.0220,3.5480,132.9051,1817.45,VEHICLE,0,0
-1578.8058,74.3793,3.5483,132.6330,1939.17,VEHICLE,0,0
-1579.5797,73.6836,3.5484,132.5217,2061.77,VEHICLE,0,0
-1580.3912,72.9461,3.5485,132.4763,2183.42,VEHICLE,0,0
-1581.2489,72.1618,3.5485,132.4568,2305.10,VEHICLE,0,0
-1582.1592,71.3408,3.5485,132.2385,2417.65,VEHICLE,0,0
-1583.1371,70.5395,3.5484,130.7654,2478.14,VEHICLE,0,0
-1584.1848,69.7622,3.5480,128.5723,2548.32,VEHICLE,0,0
-1585.2579,68.9648,3.5475,127.5140,2623.45,VEHICLE,0,0
-1586.3776,68.1303,3.5472,127.1006,2696.81,VEHICLE,0,0
-1587.5094,67.2874,3.5472,126.9456,2768.61,VEHICLE,0,0
-1588.6678,66.4250,3.5473,126.8869,2840.04,VEHICLE,0,0
-1589.8583,65.5381,3.5474,126.8651,2911.43,VEHICLE,0,0
-1591.0750,64.6305,3.5474,126.8572,2982.42,VEHICLE,0,0
-1592.3219,63.6985,3.5474,126.8543,3053.30,VEHICLE,0,0
-1593.6000,62.7418,3.5474,126.8529,3124.08,VEHICLE,0,0
-1594.9150,61.7558,3.5474,126.8520,3195.05,VEHICLE,0,0
-1596.2579,60.7721,3.5474,126.4637,3251.90,VEHICLE,0,0
-1597.6617,59.8360,3.5473,124.7559,3288.86,VEHICLE,0,0
-1599.1270,58.9479,3.5470,122.5178,3358.53,VEHICLE,0,0
-1600.6259,58.0491,3.5469,121.5107,3430.16,VEHICLE,0,0
-1602.1643,57.1299,3.5469,121.1405,3499.85,VEHICLE,0,0
-1603.7281,56.1981,3.5471,121.0060,3566.34,VEHICLE,0,0
-1605.3124,55.2558,3.5472,120.9577,3604.56,VEHICLE,0,0
-1606.9175,54.3005,3.5471,120.9410,3643.25,VEHICLE,0,0
-1608.5396,53.3331,3.5470,120.9355,3681.88,VEHICLE,0,0
-1610.1849,52.3478,3.5526,120.9319,3720.57,VEHICLE,0,0
-1611.8447,51.3519,3.5524,120.9304,3759.00,VEHICLE,0,0
-1613.5199,50.3450,3.5542,120.9296,3797.27,VEHICLE,0,0
-1615.2083,49.3310,3.5515,120.9288,3835.29,VEHICLE,0,0
-1616.9098,48.3117,3.5522,120.9438,3872.54,VEHICLE,0,0
-1618.6097,47.2398,3.5511,121.8731,3902.68,VEHICLE,0,0
-1620.3094,46.1392,3.5544,122.7267,3941.55,VEHICLE,0,0
-1622.0227,45.0220,3.5495,123.0491,3979.15,VEHICLE,0,0
-1623.7468,43.8922,3.5467,123.1678,4016.37,VEHICLE,0,0
-1625.4873,42.7481,3.5462,123.2104,4053.46,VEHICLE,0,0
-1627.2421,41.5932,3.5465,123.2247,4090.35,VEHICLE,0,0
-1629.0118,40.4288,3.5467,123.2287,4127.05,VEHICLE,0,0
-1630.7971,39.2551,3.5468,123.2295,4163.57,VEHICLE,0,0
-1632.5935,38.0757,3.5468,123.2296,4199.82,VEHICLE,0,0
-1634.4094,36.8850,3.5467,123.2298,4235.97,VEHICLE,0,0
-1636.2399,35.6677,3.5467,123.5286,4266.19,VEHICLE,0,0
-1638.0349,34.3811,3.5467,125.1186,4288.34,VEHICLE,0,0
-1639.8121,33.0441,3.5470,126.5348,4328.63,VEHICLE,0,0
-1641.6028,31.6834,3.5483,127.0636,4364.55,VEHICLE,0,0
-1643.3915,30.3170,3.5474,127.2634,4399.87,VEHICLE,0,0
-1645.2046,28.9282,3.5469,127.3373,4435.21,VEHICLE,0,0
-1647.0225,27.5342,3.5467,127.3632,4470.21,VEHICLE,0,0
-1648.8544,26.1199,3.5467,127.5177,4502.46,VEHICLE,0,0
-1650.6561,24.6412,3.5467,128.8892,4525.44,VEHICLE,0,0
-1652.4320,23.1158,3.5466,130.2417,4562.35,VEHICLE,0,0
-1654.2169,21.5684,3.5465,130.7614,4597.21,VEHICLE,0,0
-1656.0065,19.9944,3.5465,131.1799,4627.73,VEHICLE,0,0
-1657.7428,18.3614,3.5464,132.7454,4643.45,VEHICLE,0,0
-1659.4216,16.6487,3.5455,134.9679,4670.43,VEHICLE,0,0
-1661.0857,14.8955,3.5432,136.1291,4696.50,VEHICLE,0,0
-1662.7529,13.1214,3.5448,136.5466,4720.19,VEHICLE,0,0
-1664.4264,11.3324,3.5460,136.6992,4743.55,VEHICLE,0,0
-1666.2192,9.4140,3.5464,136.7561,4768.20,VEHICLE,0,0
-1667.9032,7.6146,3.5465,136.7579,4790.67,VEHICLE,0,0
-1669.6293,5.8495,3.5465,135.7769,4800.40,VEHICLE,0,0
-1671.4227,4.1356,3.5472,134.0626,4819.93,VEHICLE,0,0
-1673.1104,2.5618,3.5468,133.2101,4842.22,VEHICLE,0,0
